contig1.1	chrZ
contig2.1	chr2
contig2.2	chr2
contig3.1	chr3
contig4.1	chr4
contig4.2	chr4
contig5.1	chr5
contig6.1	chr6
contig7.1	chr7
contig8.1	chr8
contig9.1	chr9
contig10.1	chr10
contig11.1	chr11
contig12.1	chr12
contig13.1	chr13
contig14.1	chr14
contig15.1	chr15
contig16.1	chr16
contig17.1	chr17
contig17.2	chr17
contig18.1	chr18
contig18.2	chr18
contig19.1	chr19
contig19.2	chr19
contig20.1	chr20
contig20.2	chr20
contig22.1	chr22
contig23.1	chr23
contig23.2	chr23
contig24.1	chr24
contig24.2	chr24
contig25.1	chr25
contig26.1	chr26
contig27.1	chr27
contig27.2	chr27
contig28.1	chr28
contig28.2	chr28
contig29.1	chr29
contig29.2	chr29
contig30.1	chr30
contig31.1	chr31
contig0.01	NA
contig0.02	NA
contig0.03	NA
contig0.04	NA
contig0.05	NA
contig0.06	NA
contig0.07	NA
contig0.08	NA
contig0.09	NA
contig0.10	NA
contig0.11	NA
contig0.12	NA
contig0.13	NA
contig0.14	NA
contig0.15	NA
contig0.16	NA
contig0.17	NA
contig0.18	NA
contig0.19	NA
contig0.20	NA
contig0.21	NA
contig0.22	NA
contig0.23	NA
contig0.24	NA
contig0.25	NA
contig0.26	NA
contig0.27	NA
contig0.28	NA
contig0.29	NA
contig0.30	NA
contig0.31	NA
contig0.32	NA
contig0.33	NA
contig0.34	NA
contig0.35	NA
contig0.36	NA
contig0.37	NA
contig0.38	NA
contig0.39	NA
contig0.40	NA
contig0.41	NA
contig0.42	NA
